Picos de Europa,peu1
Pirineo Navarro,nav1
Pirineo Aragonés,arn1
Pirineo Catalán,cat1
Ibérica Riojana,rio1
Ibérica Aragonesa,arn2
Sierras de Guadarrama y Somosierra,mad2
Sierra de Gredos,gre1
Sierra Nevada,nev1
